,SYMPTOM INPUTS,QUESTIONS ASKED,OPTIONS GIVEN
82,Abdominal swelling ,Abdominal swelling : are you experiencing any of these?, none of these
83,Abdominal swelling ,Abdominal swelling :, 
84,Abdominal swelling ,Abdominal swelling :,
85,Abdominal swelling ,Abdominal swelling :,
0,Abnormal sweating,Abnormal sweating: when did the sweating start?,Abnormal sweating
1,Abnormal sweating,Abnormal sweating: how heavily are you sweating?, today
2,Abnormal sweating,Abnormal sweating: how heavily are you sweating?, in the last week
3,Abnormal sweating,Abnormal sweating: how heavily are you sweating?, in last month
4,Abnormal sweating,Abnormal sweating: how heavily are you sweating?, 1-3 months
5,Abnormal sweating,Abnormal sweating: how heavily are you sweating?, over 3 months
6,Abnormal sweating,Abnormal sweating: how heavily are you sweating?, years ago
7,Abnormal sweating,Abnormal sweating: does it usually happen at a particular time?, sweating lightly
8,Abnormal sweating,Abnormal sweating: does it usually happen at a particular time?, sweating heavily
9,Abnormal sweating,Abnormal sweating: does it usually happen at a particular time?, i am not sure
10,Abnormal sweating,Abnormal sweating: is it getting better or getting worse?, in the morning
11,Abnormal sweating,Abnormal sweating: is it getting better or getting worse?, midday
12,Abnormal sweating,Abnormal sweating: is it getting better or getting worse?, in the evening
13,Abnormal sweating,Abnormal sweating: is it getting better or getting worse?, at night time
14,Abnormal sweating,Abnormal sweating: is it getting better or getting worse?, none of above
15,Abnormal sweating,"Abnormal sweating: do you have pain, pressure or discomfort in your chest?", improving
16,Abnormal sweating,"Abnormal sweating: do you have pain, pressure or discomfort in your chest?", worsening
17,Abnormal sweating,"Abnormal sweating: do you have pain, pressure or discomfort in your chest?", it's about the same
18,Abnormal sweating,"Abnormal sweating: do you have pain, pressure or discomfort in your chest?", i am not sure
19,Abnormal sweating,"Abnormal sweating: are you feeling anxious, worried or fearful in a way that impacts your daily activities?", Yes
20,Abnormal sweating,"Abnormal sweating: are you feeling anxious, worried or fearful in a way that impacts your daily activities?", no
21,Abnormal sweating,Abnormal sweating: how anxious are you?, yes
22,Abnormal sweating,Abnormal sweating: how anxious are you?, no
23,Abnormal sweating,Abnormal sweating: did either of these trigger your anxiety?, somewhat anxious
24,Abnormal sweating,Abnormal sweating: did either of these trigger your anxiety?, very anxious
25,Abnormal sweating,Abnormal sweating: did either of these trigger your anxiety?, i can't sleep at night
26,Abnormal sweating,Abnormal sweating: did either of these trigger your anxiety?, i am not sure
27,Abnormal sweating,Abnormal sweating: did it start gradually or suddenly?, Emotional stress
28,Abnormal sweating,Abnormal sweating: did it start gradually or suddenly?, pregnancy
29,Abnormal sweating,Abnormal sweating: did it start gradually or suddenly?, recent injury
30,Abnormal sweating,Abnormal sweating: did it start gradually or suddenly?, none of these
31,Abnormal sweating,Abnormal sweating: how often is this a problem? , suddenly
32,Abnormal sweating,Abnormal sweating: how often is this a problem? , gradually
33,Abnormal sweating,Abnormal sweating: how often is this a problem? , i am not sure 
34,Abnormal sweating,Abnormal sweating: do you have trouble breathing or catching your breath?, About once a day
35,Abnormal sweating,Abnormal sweating: do you have trouble breathing or catching your breath?, couple of times a day
36,Abnormal sweating,Abnormal sweating: do you have trouble breathing or catching your breath?, couple of times a week
37,Abnormal sweating,Abnormal sweating: do you have trouble breathing or catching your breath?, happens all the time
38,Abnormal sweating,Abnormal sweating: do you have trouble breathing or catching your breath?, i am not sure11yes
39,Abnormal sweating,Abnormal sweating: do you have trouble breathing or catching your breath?, no
40,Abnormal sweating,Abnormal sweating: Have you ever been diagnosed with goiter?, yes
41,Abnormal sweating,Abnormal sweating: Have you ever been diagnosed with goiter?, no
42,Abnormal sweating,"Abnormal sweating: does your heart race, flutter or skip beats while you're at rest?", yes
43,Abnormal sweating,"Abnormal sweating: does your heart race, flutter or skip beats while you're at rest?", no
44,Abnormal sweating,Abnormal sweating: do you have trouble falling or staying asleep at night?, yes
45,Abnormal sweating,Abnormal sweating: do you have trouble falling or staying asleep at night?, no
46,Abnormal sweating,Abnormal sweating: did either of these trigger your symptoms?, emotional stress
47,Abnormal sweating,Abnormal sweating: did either of these trigger your symptoms?, recent injury
48,Abnormal sweating,Abnormal sweating: did either of these trigger your symptoms?, none of these
49,Abnormal sweating,Abnormal sweating: are you currently experiencing any of symptoms?, tremor
50,Abnormal sweating,Abnormal sweating: are you currently experiencing any of symptoms?, weight loss
51,Abnormal sweating,Abnormal sweating: are you currently experiencing any of symptoms?, fatigue
52,Abnormal sweating,Abnormal sweating: do you smoke?, yes
53,Abnormal sweating,Abnormal sweating: do you smoke?, no
54,Abnormal sweating,Abnormal sweating: do you smoke?, i used to but i quit
55,Abnormal sweating,Abnormal sweating: have you been diagnosed with high blood pressure?, yes
56,Abnormal sweating,Abnormal sweating: have you been diagnosed with high blood pressure?, no
57,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, restlessness
58,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, irritability
59,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, feeling down
60,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, none of these 
61,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, crying
62,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, recent childbirth
63,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, dizziness
64,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, none of these
65,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, hairloss
66,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, attention deficit
67,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, decreased appetite
68,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, none of these 
69,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, lymphnode swelling
70,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, weight gain
71,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, neck pain
72,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?, none of these 
73,Abnormal sweating,Abnormal sweating: Are you currently experiencing any of these symptoms?,
0,Acne,Acne: when did it start?,Acne
1,Acne,Acne: where is your acne located?, today
2,Acne,Acne: where is your acne located?, in last week
3,Acne,Acne: where is your acne located?, in last month
4,Acne,Acne: where is your acne located?, 1-3 months
5,Acne,Acne: where is your acne located?, over 3 months
6,Acne,Acne: are your periods irregular?, Forehead
7,Acne,Acne: are your periods irregular?, face
8,Acne,Acne: are your periods irregular?, neck
9,Acne,Acne: are your periods irregular?, chest
10,Acne,Acne: are your periods irregular?, back
11,Acne,Acne: are your periods irregular?, whole body
12,Acne,Acne: do you have rash anywhere in your body?, yes
13,Acne,Acne: do you have rash anywhere in your body?, no
14,Acne,Acne: are you currently experiencing and of symptoms?, yes
15,Acne,Acne: are you currently experiencing and of symptoms?, no
16,Acne,Acne:  are you currently experiencing and of symptoms?, skin lesions
17,Acne,Acne:  are you currently experiencing and of symptoms?, hairloss
18,Acne,Acne:  are you currently experiencing and of symptoms?, feeling down
19,Acne,Acne:  are you currently experiencing and of symptoms?, none of these 
20,Acne,Acne: are you currently experiencing and of symptoms?, excessive hair growth
21,Acne,Acne: are you currently experiencing and of symptoms?, weight gain
22,Acne,Acne: are you currently experiencing and of symptoms?, heavy or prolonged periods
23,Acne,Acne: are you currently experiencing and of symptoms?, none of these
24,Acne,Acne: ,
0,Acne ,Acne : when did it start?,Acne 
1,Acne ,Acne : where is your acne located?, today
2,Acne ,Acne : where is your acne located?, in last week
3,Acne ,Acne : where is your acne located?, in last month
4,Acne ,Acne : where is your acne located?, 1-3 months
5,Acne ,Acne : where is your acne located?, over 3 months
6,Acne ,Acne : do you have rash anywhere in your body?, Forehead
7,Acne ,Acne : do you have rash anywhere in your body?, face
8,Acne ,Acne : do you have rash anywhere in your body?, neck
9,Acne ,Acne : do you have rash anywhere in your body?, chest
10,Acne ,Acne : do you have rash anywhere in your body?, back
11,Acne ,Acne : do you have rash anywhere in your body?, whole body
12,Acne ,Acne : are you currently experiencing and of symptoms?, yes
13,Acne ,Acne : are you currently experiencing and of symptoms?, no
14,Acne ,Acne :  are you currently experiencing and of symptoms?, skin lesions
15,Acne ,Acne :  are you currently experiencing and of symptoms?, hairloss
16,Acne ,Acne :  are you currently experiencing and of symptoms?, feeling down
17,Acne ,Acne :  are you currently experiencing and of symptoms?, none of these 
