,SYMPTOM INPUTS,QUESTIONS ASKED,OPTIONS GIVEN
1230,Arm swelling ,Arm swelling : do any of these activities make your calf pain worse? , recent injury
1231,Arm swelling ,Arm swelling : do any of these activities make your calf pain worse? , none of these
1232,Arm swelling ,Arm swelling : how severe is the pain?, changing positions
1233,Arm swelling ,Arm swelling : how severe is the pain?, climbing stairs
1234,Arm swelling ,Arm swelling : how severe is the pain?, lying down
1235,Arm swelling ,Arm swelling : how severe is the pain?, sitting down
1236,Arm swelling ,Arm swelling : how severe is the pain?, standing
1237,Arm swelling ,Arm swelling : how severe is the pain?, walking
1238,Arm swelling ,Arm swelling : how severe is the pain?, none of these 
1239,Arm swelling ,"Arm swelling : do you have pain, pressure or discomfort in your chest? ", mild
1240,Arm swelling ,"Arm swelling : do you have pain, pressure or discomfort in your chest? ", severe
1241,Arm swelling ,"Arm swelling : do you have pain, pressure or discomfort in your chest? ", it wakes me at night
1242,Arm swelling ,"Arm swelling : do you have pain, pressure or discomfort in your chest? ", none of these 
1243,Arm swelling ,Arm swelling : do you have trouble breathing or catching your breath? , yes
1244,Arm swelling ,Arm swelling : do you have trouble breathing or catching your breath? , no 
1245,Arm swelling ,Arm swelling : do you have pain anywhere in your legs? , yes
1246,Arm swelling ,Arm swelling : do you have pain anywhere in your legs? , no 
1247,Arm swelling ,Arm swelling : do you have fever? , yes
1248,Arm swelling ,Arm swelling : do you have fever? , no 
1249,Arm swelling ,Arm swelling : did any of these trigger your fever? , yes
1250,Arm swelling ,Arm swelling : did any of these trigger your fever? , no 
1251,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , dental procedure
1252,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , recent travel
1253,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , heat or sun exposure
1254,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , pregnancy
1255,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , recent surgery
1256,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , recent vaccination
1257,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , none of these 
1258,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , leg redness
1259,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , skin lesions
1260,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , foot swelling none of these 
1261,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , warm skin on leg
1262,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , insect bite
1263,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , warm skin on arm
1264,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , none of these 
1265,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , foot redness
1266,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , finger pain
1267,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , hand redness
1268,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , none of these  
1269,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , armpit swelling
1270,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , rash
1271,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , foot pain
1272,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , none of these  
1273,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , hand pain
1274,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , itchy skin
1275,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , varicose veins
1276,Arm swelling ,Arm swelling : are currently experiencing any of the following symptoms? , none of these  
1303,Arm weakness,"Arm weakness: do you get the sensation of numbness, tingling or prickling in your hands? ", yes
1304,Arm weakness,"Arm weakness: do you get the sensation of numbness, tingling or prickling in your hands? ", no 
,,,
,,,
,,,
,,,
1377,Armpit pain,Armpit pain: when did it start? ,Armpit pain
1378,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? , today
1379,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? , in last week
1380,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? , in last month
1381,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? , 1-3 months ago
1382,Armpit pain,Armpit pain: does one armpit hurt or do both hurt? , over 3 months ago
1383,Armpit pain,Armpit pain: how severe would you say it is? ,  one armpit
1384,Armpit pain,Armpit pain: how severe would you say it is? , both armpit
1385,Armpit pain,Armpit pain: how severe would you say it is? , i am not sure 
1386,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", mild
1387,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", severe
1388,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", it wakes me at night
1389,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", i am not sure 
1390,Armpit pain,Armpit pain: what makes it worse?  , improving
1391,Armpit pain,Armpit pain: what makes it worse?  , worsening
1392,Armpit pain,Armpit pain: what makes it worse?  , the same
1393,Armpit pain,Armpit pain: what makes it worse?  , i am not sure  
1394,Armpit pain,Armpit pain: did any of these trigger your pain? , arm movement
1395,Armpit pain,Armpit pain: did any of these trigger your pain? , cough
1396,Armpit pain,Armpit pain: did any of these trigger your pain? , deep breathing
1397,Armpit pain,Armpit pain: did any of these trigger your pain? , exercising
1398,Armpit pain,Armpit pain: did any of these trigger your pain? , none of these  
1399,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  , insect bite
1400,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  , recent surgery
1401,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  , recent injury
1402,Armpit pain,Armpit pain: is the pain readiating to the shoulder?  , none of these 
1403,Armpit pain,Armpit pain: is it a stabbing type pain? , yes
1404,Armpit pain,Armpit pain: is it a stabbing type pain? , no 
1405,Armpit pain,Armpit pain: did it start gradually or suddenly?  , yes
1406,Armpit pain,Armpit pain: did it start gradually or suddenly?  , no 
1407,Armpit pain,Armpit pain: did you have pain in your breast? , suddenly
1408,Armpit pain,Armpit pain: did you have pain in your breast? , gradually
1409,Armpit pain,Armpit pain: did you have pain in your breast? , i am not sure  
1410,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ", yes
1411,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ", no 
1412,Armpit pain,Armpit pain: are you breastfeeding? , yes
1413,Armpit pain,Armpit pain: are you breastfeeding? , no 
1414,Armpit pain,Armpit pain: is your breast red? , yes
1415,Armpit pain,Armpit pain: is your breast red? , no 
1416,Armpit pain,"Armpit pain: does any part of your neck look swollen, puffy or enlarged? ", yes
1417,Armpit pain,"Armpit pain: does any part of your neck look swollen, puffy or enlarged? ", no 
1418,Armpit pain,Armpit pain: have you recently given birth? , yes
1419,Armpit pain,Armpit pain: have you recently given birth? , no 
1420,Armpit pain,Armpit pain: do you have a fever? , yes
1421,Armpit pain,Armpit pain: do you have a fever? , no 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
1475,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", mild
1476,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", severe
1477,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", it wakes me at night
1478,Armpit pain,"Armpit pain: is it getting better, worse or staying the same? ", i am not sure 
1493,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ",  insect bite
1494,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ", recent surgery
1495,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ", recent injury
1496,Armpit pain,"Armpit pain: touching your neck, armpit and groin, can feel any soft, round, pea sized nodes or lumps? ", none of these 
1497,Armpit pain,"Armpit pain:  does any part of your neck look swollen, puffy or enlarged? ", suddenly
1498,Armpit pain,"Armpit pain:  does any part of your neck look swollen, puffy or enlarged? ", gradually
1499,Armpit pain,"Armpit pain:  does any part of your neck look swollen, puffy or enlarged? ", i am not sure   
,,,
,,,
,,,
,,,
1516,Armpit swelling ,Armpit swelling : when did it start?,Armpit swelling 
1517,Armpit swelling ,Armpit swelling : is this swelling painful? , today
1518,Armpit swelling ,Armpit swelling : is this swelling painful? , in last week
