,Unnamed: 0,SYMPTOM INPUTS,QUESTIONS ASKED,OPTIONS GIVEN
41,41.0,Abdominal pain,Abdominal pain: do any of these relieve your pain?,Abdominal pain: colicky
42,42.0,Abdominal pain,Abdominal pain: do any of these relieve your pain?,Abdominal pain: crampy
43,43.0,Abdominal pain,Abdominal pain: do any of these relieve your pain?,Abdominal pain: pinpoint
44,44.0,Abdominal pain,Abdominal pain: do any of these relieve your pain?,Abdominal pain: sharp
45,45.0,Abdominal pain,Abdominal pain: do any of these relieve your pain?,Abdominal pain: stabbing
46,46.0,Abdominal pain,Abdominal pain: do any of these relieve your pain?,Abdominal pain: vague
47,47.0,Abdominal pain,Abdominal pain: do any of these relieve your pain?,Abdominal pain: none of these 
48,48.0,Abdominal pain,Abdominal pain: does your pain moves to any of these area?,Abdominal pain: drinking fluids
49,49.0,Abdominal pain,Abdominal pain: does your pain moves to any of these area?,Abdominal pain: eating
50,50.0,Abdominal pain,Abdominal pain: does your pain moves to any of these area?,Abdominal pain: eliminating dairy product
51,51.0,Abdominal pain,Abdominal pain: does your pain moves to any of these area?,Abdominal pain: going to bathroom
52,52.0,Abdominal pain,Abdominal pain: does your pain moves to any of these area?,Abdominal pain: lying down
53,53.0,Abdominal pain,Abdominal pain: does your pain moves to any of these area?,Abdominal pain: resting
54,54.0,Abdominal pain,Abdominal pain: does your pain moves to any of these area?,Abdominal pain: stretching
55,55.0,Abdominal pain,Abdominal pain: does your pain moves to any of these area?,Abdominal pain: none of these
56,56.0,Abdominal pain,Abdominal pain: did it start gradually or suddenly?,Abdominal pain: chest
57,57.0,Abdominal pain,Abdominal pain: did it start gradually or suddenly?,Abdominal pain: back
58,58.0,Abdominal pain,Abdominal pain: did it start gradually or suddenly?,Abdominal pain: groin
59,59.0,Abdominal pain,Abdominal pain: did it start gradually or suddenly?,Abdominal pain: legs
60,60.0,Abdominal pain,Abdominal pain: did it start gradually or suddenly?,Abdominal pain: thigh
61,61.0,Abdominal pain,Abdominal pain: did it start gradually or suddenly?,Abdominal pain: none of these
62,62.0,Abdominal pain,Abdominal pain: Can youthink of another related symptoms?,Abdominal pain: suddenly
63,63.0,Abdominal pain,Abdominal pain: Can youthink of another related symptoms?,Abdominal pain: gradually
64,64.0,Abdominal pain,Abdominal pain: Can youthink of another related symptoms?,Abdominal pain: not sure
65,65.0,Abdominal pain,Abdominal pain: Are your stools loose or watery?,Abdominal pain: yes
66,66.0,Abdominal pain,Abdominal pain: Are your stools loose or watery?,Abdominal pain: no
67,67.0,Abdominal pain,Abdominal pain: How constipated are you?,Abdominal pain: yes
68,68.0,Abdominal pain,Abdominal pain: How constipated are you?,Abdominal pain: no
69,69.0,Abdominal pain,Abdominal pain: Do you have burning sensation or pain after peeing?,Abdominal pain:  mild
70,70.0,Abdominal pain,Abdominal pain: Do you have burning sensation or pain after peeing?,Abdominal pain: severe
71,71.0,Abdominal pain,Abdominal pain: Do you have burning sensation or pain after peeing?,Abdominal pain: not sure
72,72.0,Abdominal pain,Abdominal pain: Do you have abdominal surgery in past?,Abdominal pain: yes
73,73.0,Abdominal pain,Abdominal pain: Do you have abdominal surgery in past?,Abdominal pain: no
74,74.0,Abdominal pain,Abdominal pain: are you more gassy than usual?,Abdominal pain: yes
75,75.0,Abdominal pain,Abdominal pain: are you more gassy than usual?,Abdominal pain: no
76,76.0,Abdominal pain,"Abdominal pain: does you abdomen feels bloated, swollen or large than usual?",Abdominal pain: yes
77,77.0,Abdominal pain,"Abdominal pain: does you abdomen feels bloated, swollen or large than usual?",Abdominal pain: no
78,78.0,Abdominal pain,Abdominal pain: have you been diagnosed with type  diabetes?,Abdominal pain: yes
79,79.0,Abdominal pain,Abdominal pain: have you been diagnosed with type  diabetes?,Abdominal pain: no
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,85.0,Abdominal pain,Abdominal pain: is there anything else you can share?(symptoms),Abdominal pain: decreased apetite
86,86.0,Abdominal pain,Abdominal pain: is there anything else you can share?(symptoms),Abdominal pain: blood in stool
87,87.0,Abdominal pain,Abdominal pain: is there anything else you can share?(symptoms),Abdominal pain: vomiting
88,88.0,Abdominal redness,Abdominal redness: when did it start?  ,Abdominal redness:Abdominal redness
89,89.0,Abdominal redness,Abdominal redness: Can you think of another related symptoms?,Abdominal redness: Today
90,90.0,Abdominal redness,Abdominal redness: Can you think of another related symptoms?,Abdominal redness: in the last week
91,91.0,Abdominal redness,Abdominal redness: Can you think of another related symptoms?,Abdominal redness: in last month
92,92.0,Abdominal redness,Abdominal redness: Can you think of another related symptoms?,Abdominal redness: 1-3 month ago
93,93.0,Abdominal redness,Abdominal redness: Can you think of another related symptoms?,Abdominal redness: over 3 months ago
94,94.0,Abdominal redness,Abdominal redness: Can you think of another related symptoms?,Abdominal redness: year ago
95,95.0,Abdominal redness,Abdominal redness: Do have pain or discomfort in your abdomen?,Abdominal redness: yes
96,96.0,Abdominal redness,Abdominal redness: Do have pain or discomfort in your abdomen?,Abdominal redness: no
97,97.0,Abdominal redness,Abdominal redness: Select the area where you feel pain in the diagram,Abdominal redness: yes
98,98.0,Abdominal redness,Abdominal redness: Select the area where you feel pain in the diagram,Abdominal redness: no
99,99.0,Abdominal redness,Abdominal redness: which side is bothering you?,Abdominal redness: point at diagram
100,100.0,Abdominal redness,Abdominal redness: What makes it worse?  ,Abdominal redness:  right
101,101.0,Abdominal redness,Abdominal redness: What makes it worse?  ,Abdominal redness: left
102,102.0,Abdominal redness,Abdominal redness: What makes it worse?  ,Abdominal redness: both sides
103,103.0,Abdominal redness,Abdominal redness: What makes it worse?  ,Abdominal redness: i am not sure
104,104.0,Abdominal redness,Abdominal redness: how uncomfortable do you feel?,Abdominal redness: changing position
105,105.0,Abdominal redness,Abdominal redness: how uncomfortable do you feel?,Abdominal redness: cough
106,106.0,Abdominal redness,Abdominal redness: how uncomfortable do you feel?,Abdominal redness: eating
107,107.0,Abdominal redness,Abdominal redness: how uncomfortable do you feel?,Abdominal redness: deep breathing
108,108.0,Abdominal redness,Abdominal redness: how uncomfortable do you feel?,Abdominal redness: 
109,109.0,Abdominal redness,Abdominal redness: do you think any of these triggers pain?,Abdominal redness:   exposure to cold
110,110.0,Abdominal redness,Abdominal redness: do you think any of these triggers pain?,Abdominal redness: going to bathroom
111,111.0,Abdominal redness,Abdominal redness: do you think any of these triggers pain?,Abdominal redness: hunger
112,112.0,Abdominal redness,Abdominal redness: do you think any of these triggers pain?,Abdominal redness: lying down
113,114.0,Abdominal redness,Abdominal redness: Are your stools loose or watery?,Abdominal redness:   physical activity
114,115.0,Abdominal redness,Abdominal redness: Are your stools loose or watery?,Abdominal redness:pressing on area
115,116.0,Abdominal redness,Abdominal redness: Are your stools loose or watery?,Abdominal redness: sitting down
116,117.0,Abdominal redness,Abdominal redness: Are your stools loose or watery?,Abdominal redness: standing
117,119.0,Abdominal redness,Abdominal redness: do any of these describe your diarrhea?,Abdominal redness:   walking
118,120.0,Abdominal redness,Abdominal redness: did any of these cause your diarrhea?,Abdominal redness: fairly mild
119,121.0,Abdominal redness,Abdominal redness: did any of these cause your diarrhea?,Abdominal redness: intense
120,122.0,Abdominal redness,Abdominal redness: did any of these cause your diarrhea?,Abdominal redness: wakes me at night
121,123.0,Abdominal redness,Abdominal redness: did any of these cause your diarrhea?,Abdominal redness: not sure
122,124.0,Abdominal redness,Abdominal redness: Are you constipated?,Abdominal redness: dairy intake
123,125.0,Abdominal redness,Abdominal redness: Are you constipated?,Abdominal redness: eating suspect food
124,126.0,Abdominal redness,Abdominal redness: Are you constipated?,Abdominal redness: going to bathroom
125,127.0,Abdominal redness,Abdominal redness: Are you constipated?,Abdominal redness: 
126,128.0,Abdominal redness,Abdominal redness: Burning or painful urination?,Abdominal redness:   intercourse
127,129.0,Abdominal redness,Abdominal redness: Burning or painful urination?,Abdominal redness: possible food allergy
128,130.0,Abdominal redness,Abdominal redness: Burning or painful urination?,Abdominal redness: recent childbirth
129,131.0,Abdominal redness,Abdominal redness: Burning or painful urination?,Abdominal redness: 
130,132.0,Abdominal redness,Abdominal redness: how severe would you say it is?,Abdominal redness:   recent surgery
131,133.0,Abdominal redness,Abdominal redness: how severe would you say it is?,Abdominal redness: recent injury
132,134.0,Abdominal redness,Abdominal redness: how severe would you say it is?,Abdominal redness: eating gluten
133,135.0,Abdominal redness,Abdominal redness: how severe would you say it is?,Abdominal redness: none of above
134,136.0,Abdominal redness,"Abdominal redness: is it getting better, worse, or staying the same?",Abdominal redness: yes 
135,137.0,Abdominal redness,"Abdominal redness: is it getting better, worse, or staying the same?",Abdominal redness: no
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,153.0,Abdominal redness,Abdominal redness: Do you smoke?,Abdominal redness: yes
151,154.0,Abdominal redness,Abdominal redness: Do you smoke?,Abdominal redness: no
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,166.0,Abdominal redness,Abdominal redness:,Abdominal redness: teary or watery eyes
164,167.0,Abdominal redness,Abdominal redness:,Abdominal redness: fever
165,168.0,Abdominal redness,Abdominal redness:,Abdominal redness: runny nose
166,169.0,Abdominal redness,Abdominal redness:,Abdominal redness: none of these
167,170.0,Abdominal redness,Abdominal redness:,Abdominal redness: groin pain
168,171.0,Abdominal redness,Abdominal redness:,Abdominal redness: groin swelling
169,172.0,Abdominal redness,Abdominal redness:,Abdominal redness: vomoting
170,173.0,Abdominal redness,Abdominal redness:,Abdominal redness: none of these
171,174.0,Abdominal redness,Abdominal redness:,Abdominal redness: Abdominal swelling
172,175.0,Abdominal redness,Abdominal redness:,Abdominal redness: nausea
173,176.0,Abdominal redness,Abdominal redness:,Abdominal redness: none of above
174,177.0,Abdominal redness,Abdominal redness:,Abdominal redness: yes
175,178.0,Abdominal redness,Abdominal redness:,Abdominal redness: no
176,179.0,Abdominal redness,Abdominal redness:,Abdominal redness: i used to but i quit
177,180.0,Abdominal redness,Abdominal redness:,Abdominal redness:  leg redness
178,181.0,Abdominal redness,Abdominal redness:,Abdominal redness: skin lesions
179,182.0,Abdominal redness,Abdominal redness:,Abdominal redness: foot swelling
180,183.0,Abdominal redness,Abdominal redness:,Abdominal redness: none of these
181,184.0,Abdominal redness,Abdominal redness:,Abdominal redness:  warm skin
182,185.0,Abdominal redness,Abdominal redness:,Abdominal redness: insect bite
183,186.0,Abdominal redness,Abdominal redness:,Abdominal redness: calf swelling
184,187.0,Abdominal redness,Abdominal redness:,Abdominal redness: none of these
185,188.0,Abdominal redness,Abdominal redness:,Abdominal redness: 
186,231.0,Abdominal swelling ,"Abdominal swelling : If you are sexually active, have you recently engaged in unprotected sexual intercourse/",Abdominal swelling : Mild
187,232.0,Abdominal swelling ,"Abdominal swelling : If you are sexually active, have you recently engaged in unprotected sexual intercourse/",Abdominal swelling : severe
188,233.0,Abdominal swelling ,"Abdominal swelling : If you are sexually active, have you recently engaged in unprotected sexual intercourse/",Abdominal swelling : I am not sure
189,352.0,Abdominal swelling ,Abdominal swelling :,Abdominal swelling : 
190,385.0,Abnormal sweating,"Abnormal sweating: do you have pain, pressure or discomfort in your chest?",Abnormal sweating: improving
191,386.0,Abnormal sweating,"Abnormal sweating: do you have pain, pressure or discomfort in your chest?",Abnormal sweating: worsening
192,387.0,Abnormal sweating,"Abnormal sweating: do you have pain, pressure or discomfort in your chest?",Abnormal sweating: it's about the same
193,388.0,Abnormal sweating,"Abnormal sweating: do you have pain, pressure or discomfort in your chest?",Abnormal sweating: i am not sure
194,389.0,Abnormal sweating,"Abnormal sweating: are you feeling anxious, worried or fearful in a way that impacts your daily activities?",Abnormal sweating: Yes
195,390.0,Abnormal sweating,"Abnormal sweating: are you feeling anxious, worried or fearful in a way that impacts your daily activities?",Abnormal sweating: no
196,434.0,Abnormal sweating,"Abnormal sweating: does your heart race, flutter or skip beats while you're at rest?",Abnormal sweating: yes
197,435.0,Abnormal sweating,"Abnormal sweating: does your heart race, flutter or skip beats while you're at rest?",Abnormal sweating: no
198,496.0,Acne,Acne: when did it start?,Acne:Acne
199,497.0,Acne,Acne: where is your acne located?,Acne: today
200,498.0,Acne,Acne: where is your acne located?,Acne: in last week
201,499.0,Acne,Acne: where is your acne located?,Acne: in last month
202,500.0,Acne,Acne: where is your acne located?,Acne: 1-3 months
203,501.0,Acne,Acne: where is your acne located?,Acne: over 3 months
204,502.0,Acne,Acne: are your periods irregular?,Acne: Forehead
205,503.0,Acne,Acne: are your periods irregular?,Acne: face
206,504.0,Acne,Acne: are your periods irregular?,Acne: neck
207,505.0,Acne,Acne: are your periods irregular?,Acne: chest
208,506.0,Acne,Acne: are your periods irregular?,Acne: back
209,507.0,Acne,Acne: are your periods irregular?,Acne: whole body
210,508.0,Acne,Acne: do you have rash anywhere in your body?,Acne: yes
211,509.0,Acne,Acne: do you have rash anywhere in your body?,Acne: no
212,,,,
213,,,,
214,,,,
215,,,,
216,,,,
217,,,,
218,,,,
219,,,,
220,,,,
221,,,,
222,,,,
223,,,,
224,,,,
225,,,,
226,561.0,Anal pain,Anal pain: when did it start?,Anal pain:Anal pain
227,562.0,Anal pain,Anal pain: did any of these trigger your anal pain?,Anal pain: today
228,563.0,Anal pain,Anal pain: did any of these trigger your anal pain?,Anal pain: in last week
229,564.0,Anal pain,Anal pain: did any of these trigger your anal pain?,Anal pain: in last month
230,565.0,Anal pain,Anal pain: did any of these trigger your anal pain?,Anal pain: 1-3 months
231,566.0,Anal pain,Anal pain: did any of these trigger your anal pain?,Anal pain: over 3 months
232,567.0,Anal pain,Anal pain: how severe would you say it is?,Anal pain: going to the bathroom
233,568.0,Anal pain,Anal pain: how severe would you say it is?,Anal pain: intercourse
234,569.0,Anal pain,Anal pain: how severe would you say it is?,Anal pain: recent surgery
235,570.0,Anal pain,Anal pain: how severe would you say it is?,Anal pain: recent injury
236,571.0,Anal pain,Anal pain: how severe would you say it is?,Anal pain: none of these
237,572.0,Anal pain,"Anal pain: is it getting better, worse, the same, i am not sure  ",Anal pain: mild
238,573.0,Anal pain,"Anal pain: is it getting better, worse, the same, i am not sure  ",Anal pain: severe
239,574.0,Anal pain,"Anal pain: is it getting better, worse, the same, i am not sure  ",Anal pain: it wakes me at night
240,575.0,Anal pain,"Anal pain: is it getting better, worse, the same, i am not sure  ",Anal pain: i am not sure
241,576.0,Anal pain,Anal pain: is there blood in your stool?,Anal pain: improving
242,577.0,Anal pain,Anal pain: is there blood in your stool?,Anal pain: worsening
243,578.0,Anal pain,Anal pain: is there blood in your stool?,Anal pain: the same
244,579.0,Anal pain,Anal pain: is there blood in your stool?,Anal pain: i am not sure 
245,580.0,Anal pain,Anal pain: do you have swelling aorund your anus?,Anal pain: yes
246,581.0,Anal pain,Anal pain: do you have swelling aorund your anus?,Anal pain:no
247,582.0,Anal pain,Anal pain: are you constipated?,Anal pain: yes
248,583.0,Anal pain,Anal pain: are you constipated?,Anal pain:no 
249,584.0,Anal pain,Anal pain: did any of these trigger your constipation?,Anal pain: yes
250,585.0,Anal pain,Anal pain: did any of these trigger your constipation?,Anal pain:no
251,586.0,Anal pain,Anal pain: how constipated are you?,Anal pain: pregnancy
252,587.0,Anal pain,Anal pain: how constipated are you?,Anal pain: recent injury
253,588.0,Anal pain,Anal pain: how constipated are you?,Anal pain: recent surgery
254,589.0,Anal pain,Anal pain: how constipated are you?,Anal pain: none of these  
255,590.0,Anal pain,Anal pain: do you have pain on defecation?,Anal pain: mild
256,591.0,Anal pain,Anal pain: do you have pain on defecation?,Anal pain: severe
257,592.0,Anal pain,Anal pain: do you have pain on defecation?,Anal pain: i am not sure
258,593.0,Anal pain,Anal pain: have you been diagnosed with ischemic heart disease?,Anal pain: yes
259,594.0,Anal pain,Anal pain: have you been diagnosed with ischemic heart disease?,Anal pain: no
260,,,,
261,,,,
262,,,,
263,,,,
264,,,,
265,600.0,Anal pain,Anal pain: is the skin over your joint is red?,Anal pain: diarrhea
266,601.0,Anal pain,Anal pain: is the skin over your joint is red?,Anal pain: weight loss
267,602.0,Anal pain,Anal pain: is the skin over your joint is red?,Anal pain: joint pain
268,603.0,Anal pain,Anal pain: are your joints unusually stiff in the morning?,Anal pain: yes
269,604.0,Anal pain,Anal pain: are your joints unusually stiff in the morning?,Anal pain: no
270,,,,
271,,,,
272,,,,
273,,,,
274,,,,
275,,,,
276,,,,
277,,,,
278,,,,
279,,,,
280,,,,
281,,,,
282,,,,
283,,,,
284,624.0,Anhedonia ,"Anhedonia : is it getting better, worse, or staying the same?",Anhedonia :Anhedonia 
285,,,,
286,,,,
287,,,,
288,,,,
289,,,,
290,,,,
291,,,,
292,,,,
293,747.0,Anxiety,"Anxiety: is it getting better, worse or staying the same? ",Anxiety: somewhat anxious
294,748.0,Anxiety,"Anxiety: is it getting better, worse or staying the same? ",Anxiety: very anxious
295,749.0,Anxiety,"Anxiety: is it getting better, worse or staying the same? ",Anxiety: i can't sleep at night
296,750.0,Anxiety,"Anxiety: is it getting better, worse or staying the same? ",Anxiety: i am not sure   
297,819.0,Anxiety,"Anxiety: do you have pain, pressure or discomfort in your chest?",Anxiety: yes
298,820.0,Anxiety,"Anxiety: do you have pain, pressure or discomfort in your chest?",Anxiety: no
299,,,,
300,,,,
301,,,,
302,,,,
303,,,,
304,,,,
305,,,,
306,1071.0,Arm pain,"Arm pain: is it getting better, worse or staying the same?",Arm pain: over time
307,1072.0,Arm pain,"Arm pain: is it getting better, worse or staying the same?",Arm pain: suddenly
308,1073.0,Arm pain,"Arm pain: is it getting better, worse or staying the same?",Arm pain: i am not sure  
309,1074.0,Arm pain,"Arm pain: do you get the sensation of numbness, tingling, or prickling in your hands? ",Arm pain: improving
310,1075.0,Arm pain,"Arm pain: do you get the sensation of numbness, tingling, or prickling in your hands? ",Arm pain: worsening
311,1076.0,Arm pain,"Arm pain: do you get the sensation of numbness, tingling, or prickling in your hands? ",Arm pain: the same
312,1077.0,Arm pain,"Arm pain: do you get the sensation of numbness, tingling, or prickling in your hands? ",Arm pain: i am not sure  
313,,,,
314,,,,
315,,,,
316,,,,
317,1191.0,Arm swelling ,Arm swelling : when did it start?,Arm swelling :Arm swelling 
318,1192.0,Arm swelling ,Arm swelling : when do you notice the swelling?,Arm swelling : today
319,1193.0,Arm swelling ,Arm swelling : when do you notice the swelling?,Arm swelling : last week
320,1194.0,Arm swelling ,Arm swelling : when do you notice the swelling?,Arm swelling : last month
321,1195.0,Arm swelling ,Arm swelling : when do you notice the swelling?,Arm swelling : 1-3 months ago
322,1196.0,Arm swelling ,Arm swelling : when do you notice the swelling?,Arm swelling : over 3 months ago
323,1197.0,Arm swelling ,Arm swelling : is one arm swollen or are both?,Arm swelling :  forearm
324,1198.0,Arm swelling ,Arm swelling : is one arm swollen or are both?,Arm swelling : wrist
325,1199.0,Arm swelling ,Arm swelling : is one arm swollen or are both?,Arm swelling : entire hand
326,1200.0,Arm swelling ,Arm swelling : is one arm swollen or are both?,Arm swelling : fingers
327,1201.0,Arm swelling ,Arm swelling : is one arm swollen or are both?,Arm swelling : none of these  
328,1202.0,Arm swelling ,Arm swelling : did any of these trigger your arm swelling?,Arm swelling : one both
329,1203.0,Arm swelling ,Arm swelling : did any of these trigger your arm swelling?,Arm swelling : both arm
330,1204.0,Arm swelling ,Arm swelling : did any of these trigger your arm swelling?,Arm swelling : i am not sure  
331,1205.0,Arm swelling ,"Arm swelling : is it getting better, worse, or staying the same? ",Arm swelling : insect bite
332,1206.0,Arm swelling ,"Arm swelling : is it getting better, worse, or staying the same? ",Arm swelling : recent injury
333,1207.0,Arm swelling ,"Arm swelling : is it getting better, worse, or staying the same? ",Arm swelling : recent injury
334,1208.0,Arm swelling ,"Arm swelling : is it getting better, worse, or staying the same? ",Arm swelling : none of these  
335,1209.0,Arm swelling ,"Arm swelling : is your leg or any part of leg swollen, puffy or enlarged? ",Arm swelling : improving
336,1210.0,Arm swelling ,"Arm swelling : is your leg or any part of leg swollen, puffy or enlarged? ",Arm swelling : worsening
337,1211.0,Arm swelling ,"Arm swelling : is your leg or any part of leg swollen, puffy or enlarged? ",Arm swelling : the same
338,1212.0,Arm swelling ,"Arm swelling : is your leg or any part of leg swollen, puffy or enlarged? ",Arm swelling : i am not sure  
339,1213.0,Arm swelling ,"Arm swelling : are either of your calves swollen, puffy or enlarged? ",Arm swelling : yes
340,1214.0,Arm swelling ,"Arm swelling : are either of your calves swollen, puffy or enlarged? ",Arm swelling : no 
341,1215.0,Arm swelling ,Arm swelling : do you have pain in your calf? ,Arm swelling : yes
342,1216.0,Arm swelling ,Arm swelling : do you have pain in your calf? ,Arm swelling : no  
343,1217.0,Arm swelling ,Arm swelling : where does it hurt? ,Arm swelling : yes
344,1218.0,Arm swelling ,Arm swelling : where does it hurt? ,Arm swelling : no 
345,1219.0,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? ,Arm swelling : front of the calf
346,1220.0,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? ,Arm swelling : top of the calf
347,1221.0,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? ,Arm swelling : bottom of calf
348,1222.0,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? ,Arm swelling : back of calf
349,1223.0,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? ,Arm swelling : side of calf
350,1224.0,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? ,Arm swelling : none of these 
351,1225.0,Arm swelling ,Arm swelling : could any of these have triggered your symptoms? ,Arm swelling : one calf
352,1226.0,Arm swelling ,Arm swelling : could any of these have triggered your symptoms? ,Arm swelling : both calfs
353,1227.0,Arm swelling ,Arm swelling : could any of these have triggered your symptoms? ,Arm swelling : i am not sure  
354,1228.0,Arm swelling ,Arm swelling : do any of these activities make your calf pain worse? ,Arm swelling : recent travel
355,1229.0,Arm swelling ,Arm swelling : do any of these activities make your calf pain worse? ,Arm swelling : pregnancy
356,1230.0,Arm swelling ,Arm swelling : do any of these activities make your calf pain worse? ,Arm swelling : recent injury
357,1231.0,Arm swelling ,Arm swelling : do any of these activities make your calf pain worse? ,Arm swelling : none of these
358,1232.0,Arm swelling ,Arm swelling : how severe is the pain?,Arm swelling : changing positions
359,1233.0,Arm swelling ,Arm swelling : how severe is the pain?,Arm swelling : climbing stairs
360,1234.0,Arm swelling ,Arm swelling : how severe is the pain?,Arm swelling : lying down
361,1235.0,Arm swelling ,Arm swelling : how severe is the pain?,Arm swelling : sitting down
362,1236.0,Arm swelling ,Arm swelling : how severe is the pain?,Arm swelling : standing
363,1237.0,Arm swelling ,Arm swelling : how severe is the pain?,Arm swelling : walking
364,1238.0,Arm swelling ,Arm swelling : how severe is the pain?,Arm swelling : none of these 
365,1239.0,Arm swelling ,"Arm swelling : do you have pain, pressure or discomfort in your chest? ",Arm swelling : mild
366,1240.0,Arm swelling ,"Arm swelling : do you have pain, pressure or discomfort in your chest? ",Arm swelling : severe
367,1241.0,Arm swelling ,"Arm swelling : do you have pain, pressure or discomfort in your chest? ",Arm swelling : it wakes me at night
368,1242.0,Arm swelling ,"Arm swelling : do you have pain, pressure or discomfort in your chest? ",Arm swelling : none of these 
369,1243.0,Arm swelling ,Arm swelling : do you have trouble breathing or catching your breath? ,Arm swelling : yes
370,1244.0,Arm swelling ,Arm swelling : do you have trouble breathing or catching your breath? ,Arm swelling : no 
371,1245.0,Arm swelling ,Arm swelling : do you have pain anywhere in your legs? ,Arm swelling : yes
372,1246.0,Arm swelling ,Arm swelling : do you have pain anywhere in your legs? ,Arm swelling : no 
373,1247.0,Arm swelling ,Arm swelling : do you have fever? ,Arm swelling : yes
374,1248.0,Arm swelling ,Arm swelling : do you have fever? ,Arm swelling : no 
